core_id,size_regime,window_idx,r0_px,c0_px,width_px,height_px,n_nuclei_in_window,density_per_mm2,tumor_overlap_fraction,selection_rule,notes
Core_C2,A,2,2871,1511,253,253,310,18863.52,0.093799,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1454.73 c0_um=765.62; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_C2,B,1,1784,4176,128,128,93,22108.8,0.004883,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=903.95 c0_um=2115.97; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
Core_C2,B,2,2440,4192,128,128,93,22108.8,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1236.34 c0_um=2124.08; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
Core_C3,A,1,3623,2575,253,253,196,11926.61,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1835.77 c0_um=1304.75; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=detailed',)"
Core_C3,A,2,3823,1927,253,253,182,11074.71,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1937.11 c0_um=976.41; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=detailed',)"
Core_C3,B,1,3648,3368,128,128,62,14739.2,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1848.43 c0_um=1706.56; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=detailed',)"
Core_C3,B,2,3752,2672,128,128,61,14501.47,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1901.13 c0_um=1353.90; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=detailed',)"
Core_C4,A,1,2215,1111,253,253,318,19350.32,0.028512,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1122.34 c0_um=562.94; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_C4,A,2,3079,415,253,253,289,17585.67,0.064319,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1560.12 c0_um=210.28; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_C4,B,1,2344,1168,128,128,96,22821.99,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1187.70 c0_um=591.82; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
Core_C4,B,2,2784,824,128,128,94,22346.53,0.717773,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1410.65 c0_um=417.52; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
Core_C5,A,1,3031,1951,253,253,321,19532.87,0.245590,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1535.80 c0_um=988.57; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_C5,A,2,2615,1767,253,253,317,19289.47,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1325.01 c0_um=895.33; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_C5,B,1,3496,1656,128,128,101,24010.63,1.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1771.42 c0_um=839.09; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
Core_C5,B,2,3144,2016,128,128,96,22821.99,0.556641,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1593.06 c0_um=1021.50; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
Core_C6,A,1,3711,4615,253,253,346,21054.13,0.028434,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1880.36 c0_um=2338.41; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=detailed',)"
Core_C6,A,2,3807,3879,253,253,314,19106.92,0.703792,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1929.00 c0_um=1965.48; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=detailed',)"
Core_C6,B,1,3664,4648,128,128,106,25199.28,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1856.54 c0_um=2355.13; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=detailed',)"
Core_C6,B,2,2712,4712,128,128,96,22821.99,0.072266,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1374.16 c0_um=2387.56; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=detailed',)"
Core_C7,A,1,1655,3191,253,253,193,11744.06,0.665422,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=838.58 c0_um=1616.87; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_C7,A,2,2711,3271,253,253,193,11744.06,0.646237,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1373.66 c0_um=1657.41; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_C7,B,1,2752,3288,128,128,67,15927.84,0.316406,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1394.43 c0_um=1666.02; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
Core_C7,B,2,1672,3200,128,128,63,14976.93,0.434570,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=847.20 c0_um=1621.43; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
