panel,umap1,umap2,cluster,label,cohort,cell_type,n_cells,n_cluster,n_type,expected,ratio_obs_over_exp,log2_enrichment,hypergeom_p,note,is_cand,setting,n_patients,ARI,AMI,NMI,purity_weighted,purity_balanced,ARI_boot_lo,ARI_boot_hi,AMI_boot_lo,AMI_boot_hi,NMI_boot_lo,NMI_boot_hi,purity_weighted_boot_lo,purity_weighted_boot_hi,purity_balanced_boot_lo,purity_balanced_boot_hi,bootstrap,patient_id,n_cand,n_oth,med_cand,med_oth,diff,arm,Ki67,CD31
A,0.6205963,5.2596564,13.0,Myeloid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2.5486562,3.4974084,9.0,CD4 T cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,-1.6087506,7.6168504,2.0,Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,4.281466,4.0361934,7.0,CD8 T cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1.157629,3.2598457,2.0,Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,9.319354,8.096845,11.0,Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1.8542554,4.023033,0.0,CD4 T cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,8.432291,4.7805643,10.0,Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,-1.2624769,7.2440753,2.0,Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,5.0767074,8.584383,15.0,Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,7.474371,7.2527285,1.0,Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,0.04870607,4.6211324,13.0,CD4 T cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,0.345972,4.8762174,14.0,Myeloid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1.146512,3.6876283,9.0,Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2.7914732,10.992618,4.0,Fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,3.0709739,4.4806094,0.0,CD8 T cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2.8411436,9.737416,4.0,Fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
