cohort,cluster,cell_type,n_cells,n_cluster,n_type,expected,ratio_obs_over_exp,log2_enrichment,hypergeom_p,note
UOP,3,Tumor,1302,14377,75960,3994.3122366573034,0.32596350081274494,-1.617217664616401,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,4,Tumor,843,16988,75960,4719.717345505618,0.1786123910159053,-2.4850959257546257,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,5,Tumor,483,7302,75960,2028.6894311797753,0.23808474208844943,-2.070452927948417,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,6,Tumor,1554,23452,75960,6515.588132022472,0.2385049466774123,-2.067908906338069,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,7,Tumor,835,20353,75960,5654.603669241573,0.14766729002458892,-2.7595778066691845,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,8,Tumor,2676,8047,75960,2235.6702071629215,1.196956506118968,0.259370729936798,4.759675409818506e-28,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,9,Tumor,2225,12945,75960,3596.464624297753,0.618663112927033,-0.692774077395657,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,10,Tumor,16483,17118,75960,4755.834796348315,3.465847891237977,1.79320833904162,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,11,Tumor,10000,13449,75960,3736.489202949438,2.6763090850380062,1.420244741428299,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,12,Tumor,107,12692,75960,3526.1745084269664,0.03034449932761068,-5.042421172865796,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,13,Tumor,2143,24506,75960,6808.417310393258,0.3147574395489308,-1.6676876172655286,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,14,Tumor,1048,6062,75960,1684.184515449438,0.622259610147486,-0.6844114885961846,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,15,Tumor,7985,11933,75960,3315.304160814607,2.4085271253175145,1.268151171938465,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,16,Tumor,518,16865,75960,4685.544680477528,0.11055278208278828,-3.177192763568241,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,17,Tumor,976,15039,75960,4178.2334094101125,0.23359154560438802,-2.0979400352899202,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,18,Tumor,544,4332,75960,1203.5445926966293,0.45199820870876783,-1.1456110397072936,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,19,Tumor,12899,13442,75960,3734.5444171348313,3.4539688270453626,1.7882550622327864,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,0,Vessel,4720,10839,51665,2048.2097634304773,2.304451469899563,1.2044233858683335,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,1,Vessel,147,13671,51665,2583.3633800035113,0.05690256397448825,-4.135362529335302,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,2,Vessel,8325,9996,51665,1888.910858497191,4.407301679986811,2.1398956525320125,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,3,Vessel,4151,14377,51665,2716.7738508017324,1.527915177325128,0.6115644539436067,3.918673527577749e-195,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,4,Vessel,1816,16988,51665,3210.1658327481273,0.5657028622865182,-0.8218836242837574,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,5,Vessel,1121,7302,51665,1379.8346427317415,0.8124161876242569,-0.29970910885672813,0.9999999999999999,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,6,Vessel,5542,23452,51665,4431.646403909176,1.2505510356402478,0.3225639358576734,1.1923913341180409e-79,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,7,Vessel,639,20353,51665,3846.038685773642,0.1661449746627973,-2.5894854379615695,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,8,Vessel,1485,8047,51665,1520.614813758193,0.9765786749964831,-0.03419181989449921,0.851787627273282,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
