umap1,umap2,cluster,label
8.068688,8.165718,11,Tumor
7.674451,5.374599,10,Tumor
0.045306507,7.236125,2,Myeloid
9.779599,6.0876346,10,Tumor
8.613699,6.6743937,10,Tumor
2.1486976,8.387252,6,Vessel
3.6623933,10.055574,4,Fibroblasts
7.1541386,8.4862,19,Tumor
3.5209246,4.3036613,7,CD8 T cells
3.2456503,5.949545,13,Fibroblasts
5.712378,5.236563,7,Tumor
-0.72058654,9.278221,12,Vessel
9.665385,7.214329,10,Tumor
10.382924,6.0385137,10,Tumor
5.310574,10.610275,8,Tumor
5.4843187,6.6184044,13,Myeloid
10.064266,6.9669614,10,Tumor
1.3489417,7.70955,6,Vessel
2.1365316,6.306594,13,Myeloid
7.010682,8.237696,19,Tumor
2.7603629,3.6533833,7,CD4 T cells
1.2516583,7.102066,13,other
2.7057648,11.433065,4,Fibroblasts
8.106705,5.743066,10,Tumor
2.176599,2.8006623,17,Myeloid
2.6257277,8.147429,6,other
2.995499,10.831131,4,Vessel
2.6942272,4.0729303,7,Myeloid
6.408122,8.104966,19,Tumor
7.3007736,8.535591,19,Tumor
2.9028738,10.975372,4,Fibroblasts
3.035567,4.28084,7,CD4 T cells
4.675185,6.516262,18,Fibroblasts
2.4765668,3.8698678,0,Vessel
2.3068702,4.6909614,9,CD8 T cells
1.45705,9.216757,3,Vessel
2.2608886,2.5140796,17,CD4 T cells
1.2969697,3.4475758,9,Myeloid
2.6044614,7.930425,6,Myeloid
7.894495,6.6952553,1,Tumor
8.182736,6.6868954,1,Tumor
1.899654,2.7475953,0,B cells
2.9464233,2.0448422,17,Tumor
-0.78381896,5.9515076,2,Vessel
8.677993,8.111838,19,Tumor
4.144516,4.2136793,7,CD8 T cells
9.072463,7.5388274,10,Tumor
7.148048,7.5012593,1,Tumor
1.8529159,9.067705,3,CD4 T cells
2.2900293,7.272341,6,CD4 T cells
0.6548862,3.4208548,0,Vessel
3.6590831,7.906381,16,Fibroblasts
3.043482,7.3088193,6,Myeloid
5.446708,11.329271,8,Fibroblasts
1.0741946,3.9831207,0,Vessel
2.1050425,9.0672245,6,Fibroblasts
-0.30126375,3.4029834,5,B cells
1.917697,8.441959,3,Vessel
2.552527,8.449984,3,Vessel
4.4614854,5.1891966,7,CD8 T cells
3.7730908,9.543422,4,Tumor
-1.006664,8.747212,12,Vessel
3.1695895,3.4748716,7,CD8 T cells
8.172825,6.63298,1,Tumor
0.9576961,5.3247905,0,Vessel
0.15684088,5.0055265,14,Myeloid
2.7858803,10.691443,4,Fibroblasts
2.8538451,3.6062505,7,CD8 T cells
1.5145575,9.193108,6,Vessel
7.312135,8.54164,19,Tumor
6.23313,6.9968996,13,Tumor
7.8836527,8.797497,19,Tumor
2.1550667,7.812962,13,Fibroblasts
1.9034481,5.613047,13,Fibroblasts
5.0050755,7.0770326,11,Vessel
3.3737278,3.7764988,7,CD4 T cells
2.425679,8.2068815,6,Fibroblasts
1.7030562,6.492601,13,Vessel
2.2185087,6.7438436,13,Myeloid
-0.058245003,5.6943,2,Vessel
3.3130882,8.67962,6,Fibroblasts
7.0098195,5.0989366,7,CD8 T cells
2.3460362,5.554777,13,Vessel
1.8740876,3.9035094,17,CD8 T cells
5.146465,9.669228,15,Fibroblasts
4.3231697,4.455912,7,CD8 T cells
2.9816766,1.8277248,17,CD8 T cells
0.4396631,6.9839225,12,CD4 T cells
7.651171,8.227917,15,Tumor
9.06388,7.058005,10,Tumor
1.8451606,8.0976305,6,Myeloid
5.92017,8.427292,15,Tumor
3.2608137,10.554616,4,Vessel
-1.2171289,7.798401,12,other
1.0662147,8.591671,6,Vessel
-0.6712925,6.547077,2,Vessel
8.610393,7.603302,10,Tumor
2.7488885,5.4066777,13,CD4 T cells
3.9264185,4.568418,7,CD4 T cells
0.6824701,8.932823,6,other
7.306651,8.790887,19,Tumor
3.779267,4.444523,7,CD4 T cells
3.7204797,7.0895996,16,B cells
2.8286362,10.173684,4,Fibroblasts
3.1215503,6.814953,16,CD4 T cells
9.260916,8.2270155,11,Tumor
6.158119,9.86473,8,Tumor
2.3029056,3.6058495,7,CD8 T cells
7.390817,10.535228,8,Tumor
7.031357,5.137977,11,CD8 T cells
4.466511,10.115046,15,Fibroblasts
3.0996532,5.531195,7,Myeloid
2.7791088,9.679807,4,other
2.302354,6.23132,13,Vessel
7.7133117,5.279236,0,Tumor
10.345006,6.8811097,10,Tumor
6.348158,4.9851656,7,Tumor
3.0716963,10.971807,4,Fibroblasts
6.077474,7.613173,15,Tumor
10.049294,5.836278,10,Tumor
4.1579165,4.9952826,7,other
8.936626,8.296761,1,Tumor
4.78795,10.257534,8,Myeloid
3.5222394,3.5424466,7,B cells
7.3483586,8.829228,19,Tumor
-0.9101491,8.893768,12,Vessel
2.4912589,2.2683902,17,CD4 T cells
1.9572201,9.873667,3,Fibroblasts
1.6715041,2.8796496,9,Myeloid
1.6703931,8.790066,3,Vessel
0.86431557,4.2992043,0,Vessel
3.3727262,7.707674,16,CD8 T cells
3.7288833,7.880057,16,other
2.2896605,7.617452,6,Vessel
3.9792688,4.3588057,7,CD4 T cells
2.8088484,10.850315,4,Fibroblasts
2.962529,1.6706898,17,CD4 T cells
3.9145186,4.901169,7,other
5.5188913,9.789951,15,Tumor
-1.0172368,4.386935,5,Myeloid
3.9367774,11.670092,4,Tumor
-1.3868557,5.098048,5,Vessel
2.890909,8.497919,6,Fibroblasts
1.8562347,8.329368,3,Vessel
4.355331,4.3322473,7,CD8 T cells
2.3454878,7.161445,6,Vessel
8.0273,6.8275905,1,Tumor
6.5294657,8.3218975,15,Tumor
1.1178293,2.4567432,17,Myeloid
3.5094132,5.0098476,7,CD4 T cells
4.2614565,5.49049,7,Tumor
0.9285428,7.017383,16,CD4 T cells
1.9261123,8.269808,6,Vessel
2.5627658,11.254428,4,Fibroblasts
1.9865092,10.69243,4,Fibroblasts
1.6447237,3.5401664,0,Vessel
-0.14720005,7.474506,2,Vessel
2.7666404,2.1326454,17,CD8 T cells
3.3022184,2.1838171,17,Vessel
2.8172135,9.930504,4,Fibroblasts
4.1642923,6.6186976,16,CD4 T cells
5.693171,9.062358,15,other
8.239768,5.039222,10,Tumor
9.393014,8.066901,10,Tumor
5.4917054,8.236915,15,Tumor
3.0547595,8.750545,6,Fibroblasts
2.4760487,6.9310207,13,CD4 T cells
1.069321,8.662484,6,other
-0.68488204,5.139744,5,Myeloid
8.7940645,5.932152,10,Tumor
2.7607682,8.921953,6,Vessel
2.2738953,2.0100741,17,CD4 T cells
2.9630578,7.811911,6,Myeloid
8.101266,7.0224156,11,Tumor
7.7581253,6.1657233,11,Tumor
3.5743263,5.8735642,16,CD8 T cells
4.831676,11.034491,8,Tumor
9.027957,8.122556,19,Tumor
2.0168033,3.3362718,0,CD8 T cells
9.58859,5.38934,10,Tumor
8.440988,7.2218165,1,Tumor
3.3830209,5.353974,13,other
8.6942005,6.3573723,1,Tumor
4.7095766,10.884112,8,Fibroblasts
4.6458387,5.5984545,16,CD8 T cells
8.7625885,7.587236,19,Tumor
-1.166581,8.460785,12,Vessel
10.775487,6.1891026,10,Tumor
6.951155,10.72791,8,Tumor
1.6779295,4.3405757,9,Myeloid
10.667105,6.283041,10,Tumor
3.0084262,1.5413853,17,CD8 T cells
0.87061363,6.727494,2,Vessel
2.5867457,6.3430395,16,CD4 T cells
2.2115111,2.3893363,17,CD8 T cells
10.059676,6.121722,10,Tumor
6.481108,7.383805,11,Tumor
3.3651867,6.2177734,13,other
2.9603598,11.27745,4,Fibroblasts
3.5339563,9.173499,16,Vessel
0.1444926,6.7575316,2,Vessel
-0.94531363,8.434327,12,Vessel
-1.2841864,7.957243,12,Vessel
3.2504,9.092154,6,Fibroblasts
2.3034847,7.562745,3,Fibroblasts
-0.30477113,8.67842,3,other
6.291224,8.1155815,15,Tumor
0.91725856,5.1448736,0,Vessel
8.832607,6.9151525,10,Tumor
6.213723,9.456566,15,Tumor
3.6992538,7.3977,16,other
2.1937664,5.34384,13,CD4 T cells
0.08487489,5.665467,14,other
2.315617,4.3407445,0,Myeloid
0.67723995,3.099952,9,Tumor
5.3332953,8.850453,6,Tumor
0.6611641,5.6020784,0,Vessel
8.263293,6.9670486,1,Tumor
3.080995,3.166412,7,CD4 T cells
5.228674,7.074746,11,Vessel
7.666167,7.4331994,1,Tumor
2.4282937,10.610753,4,Vessel
3.6339967,8.538483,6,other
1.8938076,6.8357215,9,CD4 T cells
3.5693896,8.000726,16,other
4.785536,10.864341,8,Fibroblasts
8.017922,6.2168865,10,Tumor
3.8213906,7.580094,16,Fibroblasts
1.2242526,6.8084126,13,Vessel
2.452564,3.18893,17,CD4 T cells
3.5293787,8.812151,6,Fibroblasts
0.9695848,2.5916753,17,CD8 T cells
5.9655976,11.182233,8,Tumor
6.6797743,10.4605,8,Tumor
7.0208664,6.8377724,1,Tumor
3.313571,6.1301613,13,CD8 T cells
1.748462,5.454973,13,Vessel
0.8379909,4.4575696,0,Vessel
3.0008128,7.1113515,16,Myeloid
2.516481,8.588551,15,Fibroblasts
3.6327903,5.5246325,7,other
0.00544006,4.9627066,14,Myeloid
1.9795349,3.235581,0,B cells
3.3542864,4.8635697,7,CD4 T cells
4.6485295,10.703991,8,Fibroblasts
8.355434,6.1325808,10,Tumor
8.921576,4.9751525,10,Tumor
2.3568032,4.8375697,9,CD4 T cells
3.0206153,8.521836,6,Fibroblasts
2.5164623,8.754695,6,Fibroblasts
7.476773,6.4040523,1,Tumor
7.3107724,5.741703,0,CD8 T cells
1.1760339,6.920607,13,Vessel
8.349028,8.690831,11,Tumor
9.283862,5.349148,10,Tumor
3.3289902,3.700359,7,CD4 T cells
2.478696,1.5033137,17,B cells
1.9398296,4.919428,9,Myeloid
0.79420346,4.7615895,9,Myeloid
2.726874,4.368914,7,CD8 T cells
-1.5839783,5.234,5,Myeloid
9.204782,5.820624,1,Tumor
3.1242123,6.715391,16,Myeloid
3.281137,7.007993,6,CD8 T cells
-1.4512483,7.745927,12,Vessel
8.164574,7.2120547,1,Tumor
6.553897,6.8290706,11,Tumor
-0.66433185,9.066514,12,Vessel
3.1386974,10.348054,4,Vessel
5.7269883,7.888017,11,Tumor
1.8293763,4.179604,9,CD4 T cells
5.10221,7.8568354,1,Fibroblasts
0.7244683,7.551056,3,CD4 T cells
-0.07544136,6.443746,9,Vessel
1.312752,6.7739315,11,Vessel
2.645039,6.543452,13,CD4 T cells
2.873579,2.737027,17,CD4 T cells
2.3307965,2.8142073,17,CD4 T cells
2.505331,8.444241,6,Myeloid
3.0321014,10.495698,4,Fibroblasts
3.6524854,5.939873,16,CD4 T cells
2.1486664,6.1953397,13,CD8 T cells
1.5591328,4.889676,5,B cells
2.4663663,9.129148,3,other
4.927674,10.987011,8,Vessel
7.3812027,8.278525,19,Tumor
0.5985216,4.7578697,13,Myeloid
2.2143278,10.406412,4,other
-0.6724848,5.21993,2,Vessel
-0.45674276,4.619526,5,Myeloid
2.9105096,9.105988,6,other
1.9719996,7.689236,13,Fibroblasts
10.002805,5.6226416,10,Tumor
-2.0348265,7.2457995,2,Vessel
1.3658762,2.9473257,0,B cells
3.5427682,7.734362,16,Fibroblasts
-0.61563116,4.7271585,5,Vessel
2.2566426,8.376555,15,Fibroblasts
2.7401912,3.450344,7,CD4 T cells
3.9543264,5.9803824,7,other
-0.77075624,6.10082,2,Vessel
2.636472,4.769161,7,B cells
9.576681,6.007069,10,Tumor
-0.28772518,9.462407,12,Vessel
2.8076382,6.182105,13,CD4 T cells
3.5684175,10.389693,8,Tumor
4.572595,11.112993,8,other
1.870196,8.958938,3,Fibroblasts
7.0562387,5.834876,9,Tumor
