cohort,cluster,cell_type,n_cells,n_cluster,n_type,expected,ratio_obs_over_exp,log2_enrichment,hypergeom_p,note,is_cand
UOP,15,Fibroblasts,1338,11933,35512,1549.935246956929,0.8632618702148798,-0.2121298280069024,0.9999999991749798,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,16,Fibroblasts,3975,16865,35512,2190.535317181648,1.8146249315506369,0.8596713855160519,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,17,Fibroblasts,8,15039,35512,1953.3626228932585,0.0040955017292952,-7.93174408114104,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,18,Fibroblasts,243,4332,35512,562.6681882022472,0.4318708700706842,-1.2113280856400856,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,19,Fibroblasts,122,13442,35512,1745.9339302434455,0.0698766418858638,-3.83904591253068,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,0,Myeloid,1140,10839,25735,1020.2395869908707,1.117384597241864,0.1601258384921615,4.017201421496849e-05,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,1,Myeloid,71,13671,25735,1286.8064760358145,0.0551753517892801,-4.179832266846057,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,2,Myeloid,443,9996,25735,940.8907566713484,0.4708304304818877,-1.0867205279380283,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,3,Myeloid,605,14377,25735,1353.2599448443352,0.4470685785867938,-1.1614319426771165,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,4,Myeloid,189,16988,25735,1599.024827364232,0.1181970390738335,-3.080734199532672,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,5,Myeloid,4119,7302,25735,687.3133558637641,5.992899693944618,2.5832542270270293,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,6,Myeloid,1461,23452,25735,2207.459986540262,0.661846651313402,-0.5954311089993176,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
